generation,training_chunk,samples_seen,epoch_fraction,trial,LR,optimization_metric_name,optimization_metric_value,optimization_metric_mode,controller_objective_mistag_percent,validation_working_point_mistag_percent,ctag_score,btag_score,total_mistag_score,group_score_warning,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total,validation_accuracy,validation_auc,validation_loss,best_so_far,training_loss,validation_shutdown_warning,validation_dataset,validation_suffix,validation_sample_count,evaluation_type
15,15,0,,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3631352943802166,min,0.8812500135721976,0.8812500135721976,0.4990151398437159,0.26425499247558976,0.3631352943802166,,0.14200000208007815,0.06600000112792971,2.6820000986270176,0.19399999597412118,0.4359999901538088,0.05600000164062505,2.4280000240814212,1.0459999948925782,0.015872517214740804,0.01786679732913854,71,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07130965300872726,0.07320233515508458,1341,50000,0.018707497323864092,0.02069969747986102,97,50000,0.028490315650111717,0.03047283599970467,218,50000,0.009628122740163846,0.011625842785762949,28,50000,0.06788829693773375,0.06979113888089493,1214,50000,0.04452956335492912,0.04648768419251263,523,50000,0.8923866666666667,0.9738470849333334,0.28280701822916665,0.35852548089248804,0.288510830940007,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
15,15,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.35761134010565787,min,0.8747500067283062,0.8747500067283062,0.4907968288537344,0.2605678420352561,0.35761134010565787,,0.14000000170898438,0.064,2.6520000574621596,0.19399999597412118,0.42599998777954134,0.05400000131835941,2.4299999842414857,1.0380000253417976,0.01575384307703153,0.01774820318982931,70,50000,0.0103552826863133,0.012352682738312273,32,50000,0.07091494976198438,0.07280883188434221,1326,50000,0.018707497323864092,0.02069969747986102,97,50000,0.02815191825724459,0.03013483859883783,213,50000,0.0094384043456773,0.011436204389676428,27,50000,0.06791597188520564,0.06981873382996724,1215,50000,0.04435695613715339,0.04631539696833692,519,50000,0.89254,0.9739534616333333,0.28225158854166665,0.35761134010565787,0.287783696318841,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
15,15,0,,lr_3e-6,1.3500000000000001e-05,validation_total_reference_mistag_geomean_percent,0.35989034818640875,min,0.8757500089747245,0.8757500089747245,0.4933560972346678,0.2625305807381702,0.35989034818640875,,0.14000000170898438,0.06600000112792971,2.65000011119843,0.19399999597412118,0.43399999509948733,0.05400000131835941,2.4259999855630494,1.0419999798074344,0.01575384307703153,0.01774820318982931,70,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07088855042782331,0.07278251254858141,1325,50000,0.018707497323864092,0.02069969747986102,97,50000,0.028422952692990465,0.03040555304098351,217,50000,0.0094384043456773,0.011436204389676428,27,50000,0.06786060972951875,0.0697635316710802,1213,50000,0.04444334510580756,0.046401625940190906,521,50000,0.8924733333333333,0.9738834996,0.2826078515625,0.35761134010565787,0.28829527124549864,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
15,15,0,,lr_5_75e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.36431960537573177,min,0.8854999942996225,0.8854999942996225,0.501529049168212,0.26464822941215504,0.36431960537573177,,0.14200000208007815,0.06600000112792971,2.6980000687509174,0.19399999597412118,0.44400001083984403,0.05600000164062505,2.44199989417603,1.0419999798074344,0.015872517214740804,0.01786679732913854,71,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07151918346484203,0.07341122562399931,1349,50000,0.018707497323864092,0.02069969747986102,97,50000,0.028758217104436073,0.030740417460429006,222,50000,0.009628122740163846,0.011625842785762949,28,50000,0.06808176491855805,0.06998404687291945,1221,50000,0.04444334510580756,0.046401625940190906,521,50000,0.89228,0.9738073964999999,0.282994921875,0.35761134010565787,0.2887421144007729,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
15,15,0,,lr_8_5e-6,1.68e-05,validation_total_reference_mistag_geomean_percent,0.35726253477658443,min,0.8760000134450536,0.8760000134450536,0.48585351385125447,0.2627057644252554,0.35726253477658443,,0.14399999718750006,0.064,2.664000065039064,0.19399999597412118,0.42599998777954134,0.052000000507812505,2.4280000240814212,1.036000036990968,0.01599035816667656,0.01798455828267429,72,50000,0.0103552826863133,0.012352682738312273,32,50000,0.07107311984285922,0.07296652197481684,1332,50000,0.018707497323864092,0.02069969747986102,97,50000,0.02815191825724459,0.03013483859883783,213,50000,0.00924516668895976,0.011243046731358937,26,50000,0.06788829693773375,0.06979113888089493,1214,50000,0.044313697328091095,0.046272218157674544,518,50000,0.8926266666666667,0.9739616290333334,0.28220118489583335,0.35726253477658443,0.2877869863562874,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
16,16,0,,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3621753587037118,min,0.8780000107238393,0.8780000107238393,0.49377558478315836,0.2656490002634822,0.3621753587037118,,0.14599999750488285,0.06600000112792971,2.664000065039064,0.19399999597412118,0.4380000022723389,0.05400000131835941,2.4259999855630494,1.036000036990968,0.0161073831476864,0.01810150326528408,73,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07107311984285922,0.07296652197481684,1332,50000,0.018707497323864092,0.02069969747986102,97,50000,0.028557522513779788,0.030539962864972823,219,50000,0.0094384043456773,0.011436204389676428,27,50000,0.06786060972951875,0.0697635316710802,1213,50000,0.044313697328091095,0.046272218157674544,518,50000,0.89244,0.9738768188666667,0.2826595182291667,0.35726253477658443,0.2881497592443174,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
16,16,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.355477020140125,min,0.8699999922093586,0.8699999922093586,0.4836043411070473,0.26129606603289735,0.355477020140125,,0.14200000208007815,0.064,2.643999929397585,0.19399999597412118,0.42599998777954134,0.052000000507812505,2.4160000280175784,1.0219999939181519,0.015872517214740804,0.01786679732913854,71,50000,0.0103552826863133,0.012352682738312273,32,50000,0.07080928763855202,0.07270348975451021,1322,50000,0.018707497323864092,0.02069969747986102,97,50000,0.02815191825724459,0.03013483859883783,213,50000,0.00924516668895976,0.011243046731358937,26,50000,0.06772198925879096,0.06962531119235234,1208,50000,0.04400967338718462,0.04596875420556819,511,50000,0.8926666666666667,0.9739776146666667,0.28214578125,0.355477020140125,0.28741040635057885,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
16,16,0,,lr_3e-6,1.3500000000000001e-05,validation_total_reference_mistag_geomean_percent,0.36061974915762185,min,0.8747500142228707,0.8747500142228707,0.4919743754857546,0.2643361320477385,0.36061974915762185,,0.14399999718750006,0.06600000112792971,2.6479999692919924,0.19399999597412118,0.43200001054687526,0.05400000131835941,2.4240001013452193,1.036000036990968,0.01599035816667656,0.01798455828267429,72,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07086214030379533,0.07275618242295369,1324,50000,0.018707497323864092,0.02069969747986102,97,50000,0.02835543256815773,0.030338112914550866,216,50000,0.0094384043456773,0.011436204389676428,27,50000,0.06783291024577663,0.06973591218573834,1212,50000,0.044313697328091095,0.046272218157674544,518,50000,0.8925266666666667,0.9739136939,0.28245618489583335,0.355477020140125,0.2879035840327827,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
16,16,0,,lr_5_75e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.36250037277144187,min,0.8817500159982304,0.8817500159982304,0.4954436307970307,0.2652300122377956,0.36250037277144187,,0.14399999718750006,0.06600000112792971,2.6840000143341065,0.19399999597412118,0.44200000957702656,0.05400000131835941,2.432000083125003,1.0380000253417976,0.01599035816667656,0.01798455828267429,72,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07133588130421552,0.07322848345217327,1342,50000,0.018707497323864092,0.02069969747986102,97,50000,0.028691472196859958,0.03067375255125281,221,50000,0.0094384043456773,0.011436204389676428,27,50000,0.06794363458668927,0.06984631653305061,1216,50000,0.04435695613715339,0.04631539696833692,519,50000,0.8922333333333333,0.9738324724666666,0.2828894921875,0.355477020140125,0.28841490603128767,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
16,16,0,,lr_8_5e-6,1.68e-05,validation_total_reference_mistag_geomean_percent,0.3551306018231547,min,0.8695000043894204,0.8695000043894204,0.4826622392983051,0.26129606603289735,0.3551306018231547,,0.14200000208007815,0.064,2.643999929397585,0.19399999597412118,0.4239999937890626,0.052000000507812505,2.4180001099493458,1.0180000034173584,0.015872517214740804,0.01786679732913854,71,50000,0.0103552826863133,0.012352682738312273,32,50000,0.07080928763855202,0.07270348975451021,1322,50000,0.018707497323864092,0.02069969747986102,97,50000,0.028083758467464543,0.0300667588074577,212,50000,0.00924516668895976,0.011243046731358937,26,50000,0.06774973799309122,0.06965297992825303,1209,50000,0.0439224159769493,0.04588165679213305,509,50000,0.8927133333333334,0.9739875884333333,0.28208204427083333,0.3551306018231547,0.287372223589603,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
17,17,0,,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.35861727330334603,min,0.8757499828827486,0.8757499828827486,0.48742014868823086,0.26385111296206887,0.35861727330334603,,0.14399999718750006,0.06600000112792971,2.6559998703125065,0.1920000075000003,0.43200001054687526,0.052000000507812505,2.4299999842414857,1.0339999916378786,0.01599035816667656,0.01798455828267429,72,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07096771610815983,0.07286143823371782,1328,50000,0.018606088111257617,0.020598368265654594,96,50000,0.02835543256815773,0.030338112914550866,216,50000,0.00924516668895976,0.011243046731358937,26,50000,0.06791597188520564,0.06981873382996724,1215,50000,0.04427039547207877,0.04622899630006248,517,50000,0.8926066666666667,0.9738927426666667,0.2825984765625,0.3551306018231547,0.28793823236031285,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
17,17,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3581467532143165,min,0.8692500165423973,0.8692500165423973,0.4836043411070473,0.26523561915165633,0.3581467532143165,,0.14399999718750006,0.06600000112792971,2.630000124404913,0.19799999939575197,0.42599998777954134,0.052000000507812505,2.4160000280175784,1.0219999939181519,0.01599035816667656,0.01798455828267429,72,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07062396167407149,0.07251872377882947,1315,50000,0.01890875502183506,0.02090079518103191,99,50000,0.02815191825724459,0.03013483859883783,213,50000,0.00924516668895976,0.011243046731358937,26,50000,0.06772198925879096,0.06962531119235234,1208,50000,0.04400967338718462,0.04596875420556819,511,50000,0.89284,0.9739920539333333,0.28209640625,0.3551306018231547,0.28719573174698587,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
17,17,0,,lr_3e-6,1.3500000000000001e-05,validation_total_reference_mistag_geomean_percent,0.35814814202000855,min,0.8704999862287144,0.8704999862287144,0.4845609688546756,0.2647140398773093,0.35814814202000855,,0.14399999718750006,0.06600000112792971,2.6359999457000742,0.1960000040673829,0.4300000065612794,0.052000000507812505,2.4219999312603777,1.0180000034173584,0.01599035816667656,0.01798455828267429,72,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07070345230494601,0.07259797441450389,1318,50000,0.018808383644857783,0.020800503802454642,98,50000,0.02828775418893207,0.030270514533725125,215,50000,0.00924516668895976,0.011243046731358937,26,50000,0.06780519847169354,0.06970828041005482,1211,50000,0.0439224159769493,0.04588165679213305,509,50000,0.8926133333333334,0.9739324850000001,0.2824068359375,0.3551306018231547,0.2876688472107443,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
17,17,0,,lr_5_75e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.3624409763618202,min,0.8805000177357489,0.8805000177357489,0.49602216923577014,0.26483385117343333,0.3624409763618202,,0.14399999718750006,0.06600000112792971,2.66800006961487,0.19399999597412118,0.44200000957702656,0.05400000131835941,2.4340000872787506,1.0419999798074344,0.01599035816667656,0.01798455828267429,72,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07112575741969329,0.07301899955485108,1334,50000,0.018707497323864092,0.02069969747986102,97,50000,0.028691472196859958,0.03067375255125281,221,50000,0.0094384043456773,0.011436204389676428,27,50000,0.06797128505690829,0.06987388700486936,1217,50000,0.04444334510580756,0.046401625940190906,521,50000,0.8923533333333333,0.9738477704666666,0.2828268098958333,0.3551306018231547,0.28822955935271455,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
17,17,0,,lr_8_5e-6,1.68e-05,validation_total_reference_mistag_geomean_percent,0.3584114098656239,min,0.8664999988375858,0.8664999988375858,0.4823990692077255,0.26629143155860596,0.3584114098656239,,0.14399999718750006,0.06799999900390627,2.6200000479736336,0.1960000040673829,0.4239999937890626,0.052000000507812505,2.407999941945802,1.020000006225586,0.01599035816667656,0.01798455828267429,72,50000,0.010701894656100771,0.01269913471129969,34,50000,0.07049125893131454,0.07238642102807315,1310,50000,0.018808383644857783,0.020800503802454642,98,50000,0.028083758467464543,0.0300667588074577,212,50000,0.00924516668895976,0.011243046731358937,26,50000,0.06761087067270397,0.06951451259986571,1204,50000,0.043966066708366405,0.04592522752515024,510,50000,0.8927866666666666,0.9740067562666667,0.282029765625,0.3551306018231547,0.287118458360618,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
18,18,0,,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3568370628263586,min,0.8727500049733361,0.8727500049733361,0.4865542212289183,0.2617029795465159,0.3568370628263586,,0.14000000170898438,0.06600000112792971,2.643999929397585,0.1920000075000003,0.4300000065612794,0.052000000507812505,2.4240001013452193,1.0339999916378786,0.01575384307703153,0.01774820318982931,70,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07080928763855202,0.07270348975451021,1322,50000,0.018606088111257617,0.020598368265654594,96,50000,0.02828775418893207,0.030270514533725125,215,50000,0.00924516668895976,0.011243046731358937,26,50000,0.06783291024577663,0.06973591218573834,1212,50000,0.04427039547207877,0.04622899630006248,517,50000,0.8926666666666667,0.9739232625333334,0.2824575,0.3551306018231547,0.28758723240900697,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
18,18,0,,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3559920925094301,min,0.8670000267104351,0.8670000267104351,0.4819292174814045,0.26296469550351054,0.3559920925094301,,0.14200000208007815,0.06600000112792971,2.630000124404913,0.19399999597412118,0.42199999510620123,0.052000000507812505,2.4100000882568393,1.020000006225586,0.015872517214740804,0.01786679732913854,71,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07062396167407149,0.07251872377882947,1315,50000,0.018707497323864092,0.02069969747986102,97,50000,0.028015435948228976,0.029998516286622225,211,50000,0.00924516668895976,0.011243046731358937,26,50000,0.06763866889655593,0.06954223082531741,1205,50000,0.043966066708366405,0.04592522752515024,510,50000,0.89288,0.9740237830666666,0.2819520963541667,0.3551306018231547,0.2868348569004153,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
18,18,0,,lr_3e-6,1.3500000000000001e-05,validation_total_reference_mistag_geomean_percent,0.3567128623094413,min,0.871999996568203,0.871999996568203,0.48467784974112393,0.2625332810339033,0.3567128623094413,,0.14200000208007815,0.06600000112792971,2.6399999919433594,0.1920000075000003,0.4239999937890626,0.052000000507812505,2.4299999842414857,1.0299999913558961,0.015872517214740804,0.01786679732913854,71,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07075639167085507,0.0726507537836131,1320,50000,0.018606088111257617,0.020598368265654594,96,50000,0.028083758467464543,0.0300667588074577,212,50000,0.00924516668895976,0.011243046731358937,26,50000,0.06791597188520564,0.06981873382996724,1215,50000,0.04418366212426278,0.04614242294904633,515,50000,0.8927466666666667,0.9739677545666666,0.282218359375,0.3551306018231547,0.2872936432770693,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
18,18,0,,lr_5_75e-6,9e-06,validation_total_reference_mistag_geomean_percent,0.3575819117187993,min,0.8740000133020024,0.8740000133020024,0.488680006791704,0.2616534783731648,0.3575819117187993,,0.14000000170898438,0.06600000112792971,2.6420000443450937,0.1920000075000003,0.4359999901538088,0.052000000507812505,2.4280000240814212,1.036000036990968,0.01575384307703153,0.01774820318982931,70,50000,0.010529894247015226,0.01252721430061417,33,50000,0.07078284507348702,0.07267712718784479,1321,50000,0.018606088111257617,0.020598368265654594,96,50000,0.028490315650111717,0.03047283599970467,218,50000,0.00924516668895976,0.011243046731358937,26,50000,0.06788829693773375,0.06979113888089493,1214,50000,0.044313697328091095,0.046272218157674544,518,50000,0.8925266666666667,0.9738764088333333,0.28267704427083334,0.3551306018231547,0.2879042423009759,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
18,18,0,,lr_8_5e-6,1.68e-05,validation_total_reference_mistag_geomean_percent,0.35574124801219564,min,0.8634999982720188,0.8634999982720188,0.48182534007716676,0.26265085086020296,0.35574124801219564,,0.14399999718750006,0.06600000112792971,2.607999933144533,0.1920000075000003,0.4239999937890626,0.052000000507812505,2.4060000212933352,1.0160000316259776,0.01599035816667656,0.01798455828267429,72,50000,0.010529894247015226,0.01252721430061417,33,50000,0.0703316534734804,0.07222729556063921,1304,50000,0.018606088111257617,0.020598368265654594,96,50000,0.028083758467464543,0.0300667588074577,212,50000,0.00924516668895976,0.011243046731358937,26,50000,0.0675830600388904,0.06948678196445242,1203,50000,0.043878721064451176,0.04583804187803485,508,50000,0.89288,0.9740457852666667,0.28184045572916666,0.3551306018231547,0.28672263148936245,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,,proxy
